name,x1,x2,y1,y2,classname
2756.png,69,126,294,392,face_with_mask
2756.png,505,10,723,283,face_with_mask
2756.png,75,252,264,390,mask_colorful
2756.png,521,136,711,277,mask_colorful
6098.jpg,360,85,728,653,face_no_mask
6427.png,218,98,577,580,face_with_mask_incorrect
6427.png,278,386,582,582,mask_surgical
4591.png,239,9,522,342,face_with_mask
4591.png,255,159,491,341,mask_colorful
5392.jpg,261,0,444,257,face_other_covering
5392.jpg,261,2,444,257,scarf_bandana
5525.jpg,262,18,484,319,face_no_mask
5525.jpg,49,58,191,247,face_no_mask
3911.png,49,26,389,476,face_no_mask
4287.png,160,312,588,595,mask_colorful
4287.png,166,201,592,336,eyeglasses
4287.png,80,0,629,599,face_with_mask
4893.png,179,8,664,599,face_with_mask
4893.png,185,214,584,596,mask_colorful
1987.jpg,365,67,464,199,face_with_mask
1987.jpg,72,150,103,191,face_no_mask
1987.jpg,367,127,456,198,mask_surgical
1987.jpg,764,138,794,169,face_no_mask
4070.png,154,15,493,485,face_with_mask
4070.png,167,236,488,481,mask_colorful
3754.png,538,51,692,257,face_with_mask
3754.png,353,181,641,478,face_other_covering
3754.png,583,171,688,252,mask_colorful
3754.png,354,181,610,337,helmet
3754.png,455,257,629,465,face_shield
5342.jpg,374,17,467,136,face_other_covering
5342.jpg,380,94,465,130,scarf_bandana
5342.jpg,377,84,407,107,sunglasses
3673.png,119,26,389,379,face_with_mask
3673.png,173,208,369,372,mask_colorful
1926.jpg,442,84,805,489,face_with_mask
1926.jpg,574,242,781,483,mask_colorful
4650.png,524,287,652,384,face_with_mask
4650.png,58,6,186,132,face_with_mask
4650.png,528,311,614,377,mask_surgical
4650.png,86,102,173,128,mask_surgical
4650.png,251,36,286,76,face_with_mask
4650.png,262,58,285,76,mask_surgical
4650.png,55,6,186,133,hood
3939.png,717,118,762,180,face_with_mask
3939.png,518,106,563,174,face_with_mask_incorrect
3939.png,352,101,409,173,face_no_mask
3939.png,626,106,666,159,face_other_covering
3939.png,633,129,663,145,eyeglasses
3939.png,522,143,560,171,mask_surgical
3939.png,718,150,754,175,mask_surgical
3939.png,72,124,106,158,mask_colorful
3939.png,674,134,714,174,face_with_mask
3939.png,88,12,160,114,face_with_mask
3939.png,62,64,107,163,face_with_mask
3939.png,61,65,96,108,hat
3939.png,678,135,715,157,hat
3939.png,90,77,118,112,mask_surgical
3939.png,684,158,703,172,mask_surgical
3939.png,670,100,704,138,face_no_mask
4415.png,131,8,382,297,face_with_mask
4415.png,139,66,384,293,mask_colorful
3283.png,45,27,425,476,face_with_mask
3283.png,117,206,410,476,mask_colorful
3283.png,4,334,162,653,face_no_mask
2588.png,153,196,407,588,face_with_mask
2588.png,173,391,399,585,mask_colorful
2588.png,170,317,406,400,eyeglasses
2618.png,348,3,518,223,face_with_mask
2618.png,356,86,513,218,mask_colorful
4394.png,6,86,336,481,face_with_mask
4394.png,19,272,322,474,mask_colorful
6358.jpg,460,67,671,369,face_no_mask
6358.jpg,118,150,418,432,face_no_mask
6358.jpg,682,16,924,177,hat
6358.jpg,717,60,912,312,face_other_covering
2407.png,194,10,555,514,face_with_mask
2407.png,212,250,535,512,mask_colorful
2407.png,212,186,531,297,eyeglasses
2407.png,191,5,571,229,hat
4356.png,113,32,302,263,face_with_mask
4356.png,768,287,845,396,face_with_mask
4356.png,806,306,954,462,face_with_mask
4356.png,634,221,695,301,face_with_mask
4356.png,348,33,437,134,face_with_mask
4356.png,497,235,581,356,face_with_mask
4356.png,504,288,577,311,eyeglasses
4356.png,163,148,284,258,mask_surgical
4356.png,508,303,572,352,mask_surgical
4356.png,774,346,828,396,mask_surgical
4356.png,808,380,916,457,mask_surgical
4356.png,640,268,678,297,mask_surgical
4356.png,396,82,431,128,mask_surgical
4356.png,190,144,298,191,eyeglasses
4356.png,824,348,936,435,eyeglasses
4356.png,599,201,647,269,face_with_mask
4356.png,598,242,627,268,mask_surgical
2614.png,250,8,466,285,face_with_mask
2614.png,268,176,442,285,mask_surgical
2755.png,147,7,414,329,face_other_covering
2755.png,145,6,427,164,helmet
2755.png,157,145,416,263,goggles
6361.jpg,259,88,407,242,face_no_mask
4997.jpg,391,56,613,367,face_with_mask
4997.jpg,408,218,584,362,mask_surgical
4997.jpg,354,57,614,214,hat
4997.jpg,60,140,87,175,mask_colorful
4997.jpg,61,89,138,174,face_with_mask
5334.jpg,295,56,400,195,face_other_covering
5334.jpg,316,108,394,148,sunglasses
3793.png,188,57,330,221,face_with_mask_incorrect
3793.png,337,117,688,529,face_with_mask
3793.png,340,252,615,532,mask_colorful
3793.png,187,104,296,220,mask_colorful
2275.png,120,137,194,215,face_with_mask
2275.png,319,232,372,295,face_no_mask
2275.png,143,170,190,212,mask_surgical
2275.png,217,155,290,230,face_no_mask
2275.png,478,216,507,267,face_no_mask
4921.png,552,169,809,468,face_with_mask
4921.png,576,307,777,467,mask_surgical
4040.png,260,23,383,177,face_with_mask
4040.png,860,173,915,252,face_with_mask
4040.png,863,210,910,249,mask_colorful
4040.png,262,103,356,175,mask_surgical
4040.png,486,129,561,204,face_with_mask
4040.png,715,170,770,232,face_with_mask
4040.png,486,165,534,202,mask_colorful
4040.png,721,209,757,231,mask_colorful
4040.png,905,135,967,201,face_with_mask
4040.png,914,176,949,199,mask_colorful
2732.png,39,133,103,212,face_with_mask
2732.png,244,136,278,184,face_with_mask
2732.png,416,141,480,221,face_with_mask
2732.png,50,171,82,203,mask_surgical
2732.png,248,164,274,183,mask_surgical
2732.png,40,133,101,159,hat
2732.png,416,143,477,174,hat
2732.png,420,183,463,220,mask_colorful
2732.png,250,157,271,166,eyeglasses
2732.png,0,171,22,191,mask_surgical
2732.png,1,151,29,196,face_with_mask
2965.png,159,89,490,586,face_with_mask
2965.png,195,348,482,567,mask_colorful
5454.jpg,246,242,455,491,face_other_covering
5454.jpg,259,184,539,436,face_shield
5705.jpg,132,24,279,222,face_other_covering
5705.jpg,134,108,256,219,scarf_bandana
5212.jpg,1657,3208,2015,3625,face_with_mask
5212.jpg,1729,3463,1971,3611,mask_surgical
5212.jpg,1756,3396,1991,3504,sunglasses
5212.jpg,1702,3222,2011,3463,hat
5951.jpg,331,160,385,199,sunglasses
5951.jpg,335,101,473,244,face_other_covering
4125.png,159,71,454,520,face_with_mask
4125.png,179,301,437,511,mask_colorful
5820.jpg,124,41,257,189,face_no_mask
5820.jpg,450,9,555,154,face_no_mask
5820.jpg,666,68,810,224,face_no_mask
5309.jpg,438,276,489,320,eyeglasses
5309.jpg,446,225,569,370,face_other_covering
5309.jpg,446,288,569,370,scarf_bandana
3160.png,63,6,397,398,face_with_mask
3160.png,70,145,393,395,mask_surgical
5394.jpg,332,57,679,562,face_other_covering
5394.jpg,322,37,679,567,scarf_bandana
4221.png,0,40,252,343,face_with_mask
4221.png,298,120,524,499,face_with_mask
4221.png,298,324,511,497,mask_surgical
4221.png,287,119,520,499,face_with_mask
4221.png,0,163,134,345,mask_surgical
4221.png,0,41,251,343,face_with_mask
5631.jpg,97,92,828,1045,face_no_mask
6403.png,665,268,1086,423,eyeglasses
6403.png,636,367,1100,779,mask_colorful
6403.png,612,0,1112,779,face_with_mask
4019.png,207,123,296,242,face_with_mask
4019.png,210,196,261,237,mask_surgical
5298.jpg,520,199,678,317,hat
5298.jpg,547,304,654,342,eyeglasses
5298.jpg,626,96,706,136,eyeglasses
5298.jpg,166,378,328,597,face_no_mask
5298.jpg,422,455,609,730,face_no_mask
5298.jpg,300,9,412,160,face_no_mask
5298.jpg,530,231,659,419,face_other_covering
5298.jpg,616,50,717,192,face_other_covering
4931.png,133,67,486,407,face_with_mask
4931.png,278,256,408,389,mask_surgical
4931.png,206,180,482,396,face_shield
4931.png,134,71,464,360,hat
4729.png,869,122,1016,292,face_with_mask
4729.png,261,47,382,225,face_with_mask
4729.png,290,141,381,221,mask_colorful
4729.png,921,214,994,276,mask_colorful
4729.png,848,118,1025,248,hood
5806.jpg,343,175,736,674,face_no_mask
4538.png,0,38,211,345,face_with_mask
4538.png,322,51,523,325,face_with_mask
4538.png,192,178,376,446,face_with_mask
4538.png,195,319,376,444,mask_surgical
4538.png,362,186,523,322,mask_surgical
4538.png,0,202,205,345,mask_surgical
4538.png,2,41,210,179,hair_net
4538.png,184,183,368,318,hair_net
4538.png,325,51,516,214,hair_net
4538.png,4,146,216,241,eyeglasses
4538.png,339,156,516,228,eyeglasses
5584.jpg,222,53,406,270,face_no_mask
4947.png,233,23,373,189,face_other_covering
4947.png,0,32,87,172,face_other_covering
4947.png,236,31,392,210,helmet
4947.png,0,35,79,95,hat
6162.jpg,188,6,295,161,face_no_mask
